image,video,minutage
i085,v03,36.80347013680347,1050.9652705965123
i086,v27,25.925925925925927,3752.6601231659656
i087,v50,24.357691024357692,3400.3726266396156
i088,v46,11.911911911911913,1957.155589113957
i089,v28,2.4024024024024024,2644.18304963934
i090,v35,9.843176509843177,2667.4455945717054
i091,v38,0.9342676009342676,3143.903624477061
i092,v42,26.893560226893563,1933.1125161252255
i093,v19,0.9009009009009009,2880.5134958892313
i094,v37,0.3670337003670337,5771.556462515116
i095,out,,7000
i096,v27,16.583249916583252,2078.218467822861
i097,v08,14.414414414414415,1431.8666138994931
i098,v20,6.039372706039373,5210.007869475822
i099,v47,9.242575909242577,5372.306580976183
i100,v27,3.1364698031364697,1354.0391427133854
i101,v07,7.574240907574241,1893.9772965904317
i102,v30,15.215215215215215,1487.867601636651
i103,v32,7.974641307974641,2339.581586523539
i104,v46,9.042375709042377,6418.824035600291
i105,out,,7000
i106,out,,7000
i107,v27,14.88154821488155,1614.155506758875
i108,v21,11.11111111111111,1972.1678427557833
i109,v41,9.50950950950951,3627.9818081131552
i110,v03,6.2729396062729395,1498.0520685209844
i111,v49,5.772439105772439,1060.6224587476922
i112,v42,3.7370704037370706,2807.0187031795854
i113,v43,11.911911911911913,1833.0155482155628
i114,v13,0.26693360026693363,1760.3800725979604
i115,v07,2.469135802469136,1431.9224839354956
i116,v01,15.38204871538205,3443.7235661417426
i117,v42,4.704704704704705,1383.1341222021817
i118,out,,7000
i119,v09,4.571237904571238,1604.2630706963243
i120,v48,12.078745412078746,2411.0230193840953
i121,v44,1.2012012012012012,2046.175456797388
i122,v30,6.039372706039373,2079.951441740888
i123,v44,13.613613613613614,1857.529003811246
i124,v12,10.51051051051051,1363.9354823451145
i125,out,,7000
i126,v03,15.815815815815817,1509.7383879334857
i127,out,,7000
i128,v36,3.8705372038705375,964.9041403165394
i129,v03,21.72172172172172,1763.1080511415062
i130,v41,12.312312312312313,3599.6733185110006
i131,v44,18.184851518184853,4456.04780046175
i132,v18,9.142475809142477,1911.6228707566772
i133,v07,10.877544210877545,2805.95687778697
i134,v12,7.407407407407407,1536.6229205631419
i135,v29,14.214214214214214,2118.280906773226
i136,out,,7000
i137,v46,9.042375709042377,2750.3552497813807
i138,out,,7000
i139,v46,9.042375709042377,3694.696739923319
i140,v38,13.747080413747081,1795.3183561697351
i141,out,,7000
i142,out,,7000
i143,v47,9.242575909242577,2362.375499364993
i144,v50,2.4357691024357693,1946.078621227827
i145,v34,0.7340674007340674,3142.4398164483596
i146,v06,7.974641307974641,6860.088191852929
i147,v09,11.745078411745078,2108.1029386631003
i148,out,,7000
i149,v09,8.441775108441776,2129.4590862470213
i150,v25,9.042375709042377,2646.7531052215654
i151,out,,7000
i152,v17,22.22222222222222,1479.5485798039888
i153,out,,7000
i154,v27,7.574240907574241,2289.946287579689
i155,v42,11.978645311978646,2507.4580754221993
i156,v09,3.2699366032699366,1778.769799608707
i157,v05,8.208208208208209,3710.2892070565067
i158,v30,11.778445111778446,1319.812107839597
i159,v45,3.4701368034701368,2124.3676706257793
i160,out,,7000
i161,out,,7000
i162,v30,12.879546212879546,2187.1433423532167
i163,v33,2.8361695028361695,2221.819524623906
i164,v43,18.785452118785454,1965.533515359125
i165,v50,24.357691024357692,3478.9394935813416
i166,v06,6.0060060060060065,6105.404982472498
i167,v06,14.114114114114114,6278.886844019408
i168,v34,7.607607607607608,1991.5290607972559
i169,v41,8.775442108775442,1033.1727832265037
i170,out,,7000
i171,v33,12.112112112112113,2715.2904080410995
i172,v49,2.1688355021688355,2532.689874422054
i173,out,,7000
i174,v50,24.357691024357692,1982.2361110624536
i175,v50,24.357691024357692,3597.1513729616663
i176,v32,2.5358692025358693,3206.345583370576
i177,v17,22.989656322989656,1623.6261885052236
i178,v41,10.076743410076745,1425.147711642551
i179,v18,8.141474808141474,1898.4772845625516
i180,v11,3.5035035035035036,1519.091175670506
i181,v16,9.743076409743077,1683.8889512078877
i182,v11,3.5035035035035036,3086.804820522347
i183,out,,7000
i184,v24,9.776443109776443,1575.9505068370643
i185,v15,7.974641307974641,957.9070936160772
i186,v15,0.6006006006006006,1670.8698333502823
i187,v06,4.537871204537871,4954.093257095591
i188,v32,10.143476810143477,1813.9636159526465
i189,out,,7000
i190,v50,24.357691024357692,4185.499492294796
i191,out,,7000
i192,out,,7000
i193,v04,4.471137804471138,1887.3091956539606
i194,v48,13.446780113446781,1819.3592278601827
i195,v06,1.1344678011344678,5393.111532316016
i196,v48,12.078745412078746,1878.7043407625374
i197,v38,6.0060060060060065,1932.230317534636
i198,v24,2.9362696029362696,2194.411994134192
i199,v08,2.6693360026693362,2406.1812068088307
i200,v16,12.712712712712714,2246.3169856456147
